PJId,sum,
326696968,-488394.0,0
326696969,-381440.0,0
326696964,-88834.0,0
326696965,-78908.0,0
326696966,-297544.0,0
326696967,114295.0,0
326696960,-81250.0,0
326696961,-517440.0,0
326696962,-175823.0,0
326696963,115822.0,0
326762496,803384.0,0
326762497,112772.0,0
326762498,454756.0,0
326762499,415643.0,0
326696991,-71451.0,0
326696990,-74642.0,0
326696993,-203208.0,0
326696992,194264.0,0
326696995,169465.0,0
326696994,207607.0,0
326696997,-143494.0,0
326696996,-47061.0,0
326696999,-58007.0,0
326696998,-24577.0,0
326697028,2393.0,0
326697029,28699.0,0
326697026,-8279.0,0
326697027,1200.0,0
326697024,-40979.0,0
326697025,28800.0,0
326697022,-47716.0,0
326697023,20543.0,0
326697020,54894.0,0
326697021,16315.0,0
326696982,-223502.0,0
326696983,157672.0,0
326696980,-115561.0,0
326696981,-193949.0,0
326696986,374.0,0
326696987,-6170.0,0
326696984,-140109.0,0
326696985,4465.0,0
326696988,-169065.0,0
326696989,202.0,0
326697013,11151.0,0
326697012,17206.0,0
326697011,-61789.0,0
326697010,12784.0,0
326697017,-16953.0,0
326697016,37938.0,0
326697015,5277.0,0
326697014,33188.0,0
326697019,-55002.0,0
326697018,29525.0,0
326697004,9908.0,0
326697005,-1163.0,0
326697006,9130.0,0
326697007,-69837.0,0
326697000,-141519.0,0
326697001,-35623.0,0
326697002,-2275.0,0
326697003,35031.0,0
326697008,-109743.0,0
326697009,20197.0,0
326762511,-2950.0,0
326762510,-68635.0,0
326762502,69015.0,0
326762503,38849.0,0
326762500,210806.0,0
326762501,-7364.0,0
326762506,-113839.0,0
326762507,8728.0,0
326762504,-20824.0,0
326762505,-16227.0,0
326762508,305297.0,0
326762509,-26563.0,0
326696979,82713.0,0
326696978,-87938.0,0
326696973,-162818.0,0
326696972,117809.0,0
326696971,-350410.0,0
326696970,-111074.0,0
326696977,-109796.0,0
326696976,-152899.0,0
326696975,-245742.0,0
326696974,-186.0,0
